A,PC,T,Y15-64,TR41	58.0 	59.5 b
A,PC,T,Y15-64,TR42	59.7 	58.6 b
A,PC,T,Y15-64,TR51	58.1 	58.1 b
A,PC,T,Y15-64,TR52	55.5 	56.0 b
A,PC,T,Y15-64,TR61	61.8 	61.4 b
A,PC,T,Y15-64,TR62	54.8 	56.1 b
A,PC,T,Y15-64,TR63	52.6 	54.1 b
A,PC,T,Y15-64,TR71	56.8 	56.4 b
A,PC,T,Y15-64,TR72	54.9 	55.2 b
A,PC,T,Y15-64,TR81	55.8 	55.8 b
A,PC,T,Y15-64,TR82	65.8 	61.1 b
A,PC,T,Y15-64,TR83	59.0 	61.0 b
A,PC,T,Y15-64,TR90	60.5 	62.5 b
A,PC,T,Y15-64,TRA1	54.1 	53.2 b
A,PC,T,Y15-64,TRA2	54.4 	54.9 b
A,PC,T,Y15-64,TRB1	56.1 	53.6 b
A,PC,T,Y15-64,TRB2	50.1 	49.8 b
A,PC,T,Y15-64,TRC1	50.0 	53.6 b
A,PC,T,Y15-64,TRC2	50.5 	42.9 b
A,PC,T,Y15-64,TRC3	41.6 	45.9 b
A,PC,T,Y15-64,UKC1	75.2 	: 
A,PC,T,Y15-64,UKC2	76.2 	: 
A,PC,T,Y15-64,UKD1	80.8 	: 
A,PC,T,Y15-64,UKD3	76.0 	: 
A,PC,T,Y15-64,UKD4	78.2 	: 
A,PC,T,Y15-64,UKD6	77.9 	: 
A,PC,T,Y15-64,UKD7	72.1 	: 
A,PC,T,Y15-64,UKE1	76.1 	: 
A,PC,T,Y15-64,UKE2	79.8 	: 
A,PC,T,Y15-64,UKE3	74.8 	: 
A,PC,T,Y15-64,UKE4	75.4 	: 
A,PC,T,Y15-64,UKF1	76.5 	: 
A,PC,T,Y15-64,UKF2	77.0 	: 
A,PC,T,Y15-64,UKF3	78.0 	: 
A,PC,T,Y15-64,UKG1	79.6 	: 
A,PC,T,Y15-64,UKG2	79.8 	: 
A,PC,T,Y15-64,UKG3	71.4 	: 
A,PC,T,Y15-64,UKH1	79.9 	: 
A,PC,T,Y15-64,UKH2	80.1 	: 
A,PC,T,Y15-64,UKH3	79.3 	: 
A,PC,T,Y15-64,UKI3	75.9 	: 
A,PC,T,Y15-64,UKI4	76.3 	: 
A,PC,T,Y15-64,UKI5	77.1 	: 
A,PC,T,Y15-64,UKI6	81.2 	: 
A,PC,T,Y15-64,UKI7	77.3 	: 
A,PC,T,Y15-64,UKJ1	83.2 	: 
A,PC,T,Y15-64,UKJ2	81.1 	: 
A,PC,T,Y15-64,UKJ3	80.3 	: 
A,PC,T,Y15-64,UKJ4	78.9 	: 
A,PC,T,Y15-64,UKK1	81.9 	: 
A,PC,T,Y15-64,UKK2	78.4 	: 
A,PC,T,Y15-64,UKK3	77.8 	: 
A,PC,T,Y15-64,UKK4	80.4 	: 
A,PC,T,Y15-64,UKL1	74.9 	: 
A,PC,T,Y15-64,UKL2	77.3 	: 
A,PC,T,Y15-64,UKM5	80.9 	: 
A,PC,T,Y15-64,UKM6	79.7 	: 
A,PC,T,Y15-64,UKM7	76.9 	: 
A,PC,T,Y15-64,UKM8	75.0 	: 
A,PC,T,Y15-64,UKM9	78.0 	: 
A,PC,T,Y15-64,UKN0	71.1 	: 
