freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y25-64,TR33	2.8 	3.4 b
A,PC,T,Y25-64,TR4	5.8 	7.6 b
A,PC,T,Y25-64,TR41	4.3 	6.9 b
A,PC,T,Y25-64,TR42	7.4 	8.4 b
A,PC,T,Y25-64,TR5	7.2 	8.2 b
A,PC,T,Y25-64,TR51	8.0 	9.3 b
A,PC,T,Y25-64,TR52	5.0 	5.2 b
A,PC,T,Y25-64,TR6	5.0 	6.0 b
A,PC,T,Y25-64,TR61	7.3 	7.2 b
A,PC,T,Y25-64,TR62	4.0 	5.9 b
A,PC,T,Y25-64,TR63	3.9 	4.8 b
A,PC,T,Y25-64,TR7	4.7 	4.9 b
A,PC,T,Y25-64,TR71	3.7 	3.2 b
A,PC,T,Y25-64,TR72	5.3 	6.1 b
A,PC,T,Y25-64,TR8	5.4 	6.0 b
A,PC,T,Y25-64,TR81	5.4 	5.4 b
A,PC,T,Y25-64,TR82	5.4 	6.8 b
A,PC,T,Y25-64,TR83	5.4 	6.0 b
A,PC,T,Y25-64,TR9	2.9 	3.8 b
A,PC,T,Y25-64,TR90	2.9 	3.8 b
A,PC,T,Y25-64,TRA	5.5 	6.2 b
A,PC,T,Y25-64,TRA1	6.5 	7.8 b
A,PC,T,Y25-64,TRA2	4.4 	4.6 b
A,PC,T,Y25-64,TRB	5.8 	4.7 b
A,PC,T,Y25-64,TRB1	7.5 	4.7 b
A,PC,T,Y25-64,TRB2	4.1 	4.7 b
A,PC,T,Y25-64,TRC	4.2 	4.2 b
A,PC,T,Y25-64,TRC1	3.4 	4.8 b
A,PC,T,Y25-64,TRC2	4.1 	1.9 b
A,PC,T,Y25-64,TRC3	5.4 	7.0 b
A,PC,T,Y25-64,UK	14.3 	: 
A,PC,T,Y25-64,UKC	12.4 	: 
A,PC,T,Y25-64,UKC1	12.3 	: 
A,PC,T,Y25-64,UKC2	12.4 	: 
A,PC,T,Y25-64,UKD	14.0 	: 
A,PC,T,Y25-64,UKD1	11.8 	: 
A,PC,T,Y25-64,UKD3	14.1 	: 
A,PC,T,Y25-64,UKD4	16.0 	: 
A,PC,T,Y25-64,UKD6	14.1 	: 
A,PC,T,Y25-64,UKD7	12.5 	: 
A,PC,T,Y25-64,UKE	14.6 	: 
A,PC,T,Y25-64,UKE1	13.7 	: 
A,PC,T,Y25-64,UKE2	14.3 	: 
A,PC,T,Y25-64,UKE3	16.6 	: 
A,PC,T,Y25-64,UKE4	14.0 	: 
A,PC,T,Y25-64,UKF	13.8 	: 
A,PC,T,Y25-64,UKF1	14.3 	: 
A,PC,T,Y25-64,UKF2	13.1 	: 
A,PC,T,Y25-64,UKF3	14.3 	: 
A,PC,T,Y25-64,UKG	11.9 	: 
A,PC,T,Y25-64,UKG1	12.8 	: 
A,PC,T,Y25-64,UKG2	12.3 	: 
A,PC,T,Y25-64,UKG3	11.3 	: 
A,PC,T,Y25-64,UKH	13.1 	: 
A,PC,T,Y25-64,UKH1	12.9 	: 
A,PC,T,Y25-64,UKH2	13.2 	: 
A,PC,T,Y25-64,UKH3	13.5 	: 
A,PC,T,Y25-64,UKI	15.7 	: 
A,PC,T,Y25-64,UKI3	16.2 	: 
A,PC,T,Y25-64,UKI4	17.2 	: 
A,PC,T,Y25-64,UKI5	15.7 	: 
A,PC,T,Y25-64,UKI6	15.4 	: 
A,PC,T,Y25-64,UKI7	13.8 	: 
A,PC,T,Y25-64,UKJ	16.0 	: 
A,PC,T,Y25-64,UKJ1	15.3 	: 
A,PC,T,Y25-64,UKJ2	16.6 	: 
A,PC,T,Y25-64,UKJ3	17.4 	: 
A,PC,T,Y25-64,UKJ4	14.7 	: 
A,PC,T,Y25-64,UKK	16.4 	: 
A,PC,T,Y25-64,UKK1	16.7 	: 
A,PC,T,Y25-64,UKK2	15.0 	: 
A,PC,T,Y25-64,UKK3	14.6 	: 
A,PC,T,Y25-64,UKK4	18.3 	: 
A,PC,T,Y25-64,UKL	14.0 	: 
A,PC,T,Y25-64,UKL1	14.0 	: 
A,PC,T,Y25-64,UKL2	14.0 	: 
A,PC,T,Y25-64,UKM	14.1 	: 
A,PC,T,Y25-64,UKM5	12.6 	: 
A,PC,T,Y25-64,UKM6	13.9 	: 
A,PC,T,Y25-64,UKM7	14.7 	: 
A,PC,T,Y25-64,UKM8	14.6 	: 
A,PC,T,Y25-64,UKM9	12.7 	: 
A,PC,T,Y25-64,UKN	9.7 	: 
A,PC,T,Y25-64,UKN0	9.7 	: 
