freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y18-24,RO3	14.0 	12.4 b
A,PC,T,Y18-24,RO31	18.8 	15.1 b
A,PC,T,Y18-24,RO32	5.5 u	7.9 bu
A,PC,T,Y18-24,RO4	14.7 	10.4 b
A,PC,T,Y18-24,RO41	17.6 	10.5 b
A,PC,T,Y18-24,RO42	11.3 	10.3 b
A,PC,T,Y18-24,RS	6.2 	7.7 b
A,PC,T,Y18-24,RS1	6.2 	7.5 b
A,PC,T,Y18-24,RS11	3.2 u	5.7 b
A,PC,T,Y18-24,RS12	8.6 	9.1 b
A,PC,T,Y18-24,RS2	6.2 	7.9 b
A,PC,T,Y18-24,RS21	5.3 	6.4 b
A,PC,T,Y18-24,RS22	7.5 	9.8 b
A,PC,T,Y18-24,SE	7.7 	8.4 b
A,PC,T,Y18-24,SE1	7.6 	7.5 b
A,PC,T,Y18-24,SE11	8.1 	7.5 b
A,PC,T,Y18-24,SE12	7.1 	7.5 b
A,PC,T,Y18-24,SE2	7.7 	9.3 b
A,PC,T,Y18-24,SE21	8.2 	12.1 b
A,PC,T,Y18-24,SE22	6.9 	7.3 b
A,PC,T,Y18-24,SE23	8.1 	9.7 b
A,PC,T,Y18-24,SE3	7.8 	8.3 b
A,PC,T,Y18-24,SE31	9.5 	8.7 bu
A,PC,T,Y18-24,SE32	8.7 	: bu
A,PC,T,Y18-24,SE33	4.9 	7.6 bu
A,PC,T,Y18-24,SI	4.3 	3.1 bu
A,PC,T,Y18-24,SI0	4.3 	3.1 bu
A,PC,T,Y18-24,SI03	3.6 u	2.8 bu
A,PC,T,Y18-24,SI04	5.0 u	3.4 bu
A,PC,T,Y18-24,SK	9.3 	7.8 b
A,PC,T,Y18-24,SK0	9.3 	7.8 b
A,PC,T,Y18-24,SK01	: u	: bu
A,PC,T,Y18-24,SK02	6.1 	: bu
A,PC,T,Y18-24,SK03	7.6 	7.5 bu
A,PC,T,Y18-24,SK04	14.7 	14.4 b
A,PC,T,Y18-24,TR	32.5 	23.1 b
A,PC,T,Y18-24,TR1	27.5 	15.7 b
A,PC,T,Y18-24,TR10	27.5 	15.7 b
A,PC,T,Y18-24,TR2	29.6 	17.5 b
A,PC,T,Y18-24,TR21	31.7 	21.5 b
A,PC,T,Y18-24,TR22	27.1 	12.8 b
A,PC,T,Y18-24,TR3	30.1 	22.1 b
A,PC,T,Y18-24,TR31	25.9 	19.9 b
