freq,age,unit,sex,geo\TIME_PERIOD	2017 	2021 
A,Y15-24,PC,T,UKI6	14.7 	: 
A,Y15-24,PC,T,UKI7	14.6 	: 
A,Y15-24,PC,T,UKJ1	9.4 	: 
A,Y15-24,PC,T,UKJ2	10.6 	: 
A,Y15-24,PC,T,UKJ3	12.4 	: 
A,Y15-24,PC,T,UKJ4	8.8 u	: 
A,Y15-24,PC,T,UKK1	11.3 	: 
A,Y15-24,PC,T,UKK2	8.2 u	: 
A,Y15-24,PC,T,UKK3	: u	: 
A,Y15-24,PC,T,UKK4	10.8 u	: 
A,Y15-24,PC,T,UKL1	12.7 	: 
A,Y15-24,PC,T,UKL2	12.8 u	: 
A,Y15-24,PC,T,UKM5	: u	: 
A,Y15-24,PC,T,UKM6	: u	: 
A,Y15-24,PC,T,UKM7	5.8 u	: 
A,Y15-24,PC,T,UKM8	12.2 	: 
A,Y15-24,PC,T,UKM9	14.2 u	: 
A,Y15-24,PC,T,UKN0	10.1 	: 
